I0616 21:38:08.591594  3516 server.go:1318] Starting language server process with pid 3516
I0616 21:38:08.593881  3516 server.go:491] Language server will attempt to listen on host localhost
I0616 21:38:08.604585  3516 server.go:505] Language server listening on random port at 53309 for HTTPS (gRPC)
I0616 21:38:08.605102  3516 server.go:512] Language server listening on random port at 53310 for HTTP
W0616 21:38:09.378014  3516 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
I0616 21:38:09.383643  3516 manager.go:93] Creating trajectory store manager with proto store and SQLite store
E0616 21:38:09.384949  3516 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0616 21:38:09.386701  3516 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.386701  3516 log.go:398] error getting token source: You are not logged into Antigravity.
W0616 21:38:09.387705  3516 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.387705  3516 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.388705  3516 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0616 21:38:09.404877  3516 server.go:2326] Auth succeeded, refreshing features and managers
E0616 21:38:09.404877  3516 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0616 21:38:09.405402  3516 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.405402  3516 log.go:398] error getting token source: You are not logged into Antigravity.
W0616 21:38:09.405919  3516 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.405919  3516 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.405919  3516 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0616 21:38:09.405919  3516 server.go:2332] State refresh took 1ms
I0616 21:38:09.406921  3516 server.go:2445] [RemoteControl] Resolved proxyServerURL: ""
I0616 21:38:09.406921  3516 server.go:1972] initialized server successfully in 814.8051ms
W0616 21:38:09.411924  3516 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.411924  3516 log.go:398] error getting token source: You are not logged into Antigravity.
W0616 21:38:09.412708  3516 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.412708  3516 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.414580  3516 server.go:630] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0616 21:38:09.414580  3516 client.go:82] failed to set auth token
E0616 21:38:09.414580  3516 server.go:630] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0616 21:38:09.414580  3516 client.go:82] failed to set auth token
I0616 21:38:09.418415  3516 auto_updater.go:253] Spawned background update process with PID 14716
I0616 21:38:09.418415  3516 common.go:106] Launching CLI mode
E0616 21:38:09.418415  3516 common.go:125] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0616 21:38:09.418927  3516 common.go:156] CLI app data directory: C:\Users\NETCOM\.gemini\antigravity-cli
I0616 21:38:09.418927  3516 server.go:210] Creating CLI server backend: product=antigravity workspaceDirs=[C:\Users\NETCOM\agy-cli-projects] appDataDir=C:\Users\NETCOM\.gemini\antigravity-cli cascadeManager=true codeAssist=true
I0616 21:38:09.418927  3516 project.go:165] project: no project found from C:\Users\NETCOM\agy-cli-projects, creating new project
I0616 21:38:09.420695  3516 project.go:145] project: created project "C:\\Users\\NETCOM\\agy-cli-projects" (id=a5c30bb2-670c-47f5-9008-0dde9ce751c3) at C:\Users\NETCOM\.gemini\config\projects\a5c30bb2-670c-47f5-9008-0dde9ce751c3.json (no symlink)
I0616 21:38:09.420695  3516 server.go:1357] Backend project ID updated dynamically to: a5c30bb2-670c-47f5-9008-0dde9ce751c3
W0616 21:38:09.422750  3516 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.422750  3516 log.go:398] error getting token source: You are not logged into Antigravity.
W0616 21:38:09.423923  3516 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0616 21:38:09.423923  3516 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0616 21:38:09.423923  3516 manager.go:303] Initializing CLI store manager for workspace C:\Users\NETCOM\agy-cli-projects
E0616 21:38:09.423923  3516 server.go:630] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0616 21:38:09.423923  3516 client.go:82] failed to set auth token
E0616 21:38:09.423923  3516 server.go:630] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0616 21:38:09.423923  3516 client.go:82] failed to set auth token
